date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:47	37928/37928	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:47	50276/50276	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:47	39016/39016	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:48	51632/51632	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Book%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:48	37936/37936	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:48	50548/50548	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:48	40328/40328	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:49	53484/53484	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Bold%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:49	38340/38340	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Light.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Light.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:49	51144/51144	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Light.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/FreightBigPro/Freight%20Big%20Pro%20Light.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
